zip;county;state;geopoint;timezone
00830;;VI;18.32816,-64.740737;America/St_Thomas
00831;;VI;18.32816,-64.740737;America/St_Thomas
00840;;VI;17.734211,-64.734694;America/St_Thomas
00841;;VI;17.734211,-64.734694;America/St_Thomas
00850;;VI;17.734211,-64.734694;America/St_Thomas
00851;;VI;17.734211,-64.734694;America/St_Thomas
00901;SAN JUAN MUNICIPIO;PR;18.465426,-66.10786;America/Puerto_Rico
00902;;PR;18.410462,-66.060533;America/Puerto_Rico
00906;SAN JUAN MUNICIPIO;PR;18.46454,-66.10079;America/Puerto_Rico
00907;SAN JUAN MUNICIPIO;PR;18.451131,-66.07798;America/Puerto_Rico
00908;;PR;18.410462,-66.060533;America/Puerto_Rico
00909;SAN JUAN MUNICIPIO;PR;18.442282,-66.06764;America/Puerto_Rico
00910;;PR;18.410462,-66.060533;America/Puerto_Rico
00911;SAN JUAN MUNICIPIO;PR;18.45009,-66.0577;America/Puerto_Rico
00912;SAN JUAN MUNICIPIO;PR;18.445946,-66.05928;America/Puerto_Rico
00913;SAN JUAN MUNICIPIO;PR;18.450907,-66.04256;America/Puerto_Rico
00914;;PR;18.410462,-66.060533;America/Puerto_Rico
00915;SAN JUAN MUNICIPIO;PR;18.436995,-66.04888;America/Puerto_Rico
00916;;PR;18.410462,-66.060533;America/Puerto_Rico
00917;SAN JUAN MUNICIPIO;PR;18.422263,-66.0513;America/Puerto_Rico
00918;SAN JUAN MUNICIPIO;PR;18.417668,-66.06494;America/Puerto_Rico
00919;;PR;18.410462,-66.060533;America/Puerto_Rico
00920;SAN JUAN MUNICIPIO;PR;18.41242,-66.09069;America/Puerto_Rico
00921;SAN JUAN MUNICIPIO;PR;18.394019,-66.08633;America/Puerto_Rico
00922;;PR;18.410462,-66.060533;America/Puerto_Rico
00923;SAN JUAN MUNICIPIO;PR;18.410681,-66.03806;America/Puerto_Rico
00924;SAN JUAN MUNICIPIO;PR;18.401917,-66.01194;America/Puerto_Rico
00925;SAN JUAN MUNICIPIO;PR;18.400006,-66.05028;America/Puerto_Rico
00926;SAN JUAN MUNICIPIO;PR;18.361363,-66.0562;America/Puerto_Rico
00927;SAN JUAN MUNICIPIO;PR;18.39184,-66.06867;America/Puerto_Rico
00928;;PR;18.410462,-66.060533;America/Puerto_Rico
00929;SAN JUAN;PR;18.410462,-66.060533;America/Puerto_Rico
00930;;PR;18.410462,-66.060533;America/Puerto_Rico
00931;SAN JUAN;PR;18.410462,-66.060533;America/Puerto_Rico
